"hpl_id";"AllaLinjer"
"719025";"501_510_753"
"719043";"504"
"719044";"504"
"719046";"518"
"719047";"518"
"719050";"518"
"719051";"518"
"719052";"518"
"719053";"518"
"719054";"518"
"719055";"502"
"719056";"502"
"719057";"518"
"719058";"502"
"719059";"502"
"719060";"510_518_832"
"719061";"510_753_832"
"719062";"501_503_510_518_832"
"719063";"502"
"719066";"501_503_504_510_518_832"
"719067";"502"
"719068";"501_503_504_510_518_832"
"719069";"502"
"719070";"501_503_504_510_518_832"
"719071";"502"
"719072";"501_503_504_510_518_832"
"719073";"502"
"719074";"501_503_504_510_518_832"
"719076";"502"
"719077";"501_504_510_518_832"
"719078";"501_504_510_518_832"
"719079";"503_504"
"719082";"503_504"
"719083";"503_504"
"719086";"503_504"
"719088";"501_502_504_510_518_753_832"
"719092";"501_502_504_510_518_832"
"719094";"501_502_504_510_518_832"
"719101";"501_510"
"719102";"504"
"719103";"501_510"
"719104";"504"
"719105";"501_510"
"719106";"501_510_753"
"719107";"504"
"719108";"504"
"719109";"504"
"719110";"502_504"
"719113";"502_503_504"
"719115";"Upptåget Gävle"
"719117";"504"
"719118";"502"
"719200";"501_504_Upptåget Gävle"
"730000";"102_180_181_677_801_880"
"730002";"170_178"
"730003";"170_178"
"730004";"171"
"730006";"183_184"
"730007";"183_184"
"730012";"102_176_180_181"
"730013";"102_176_180_181"
"730014";"102_176_180_181"
"730015";"102_176_180_181"
"730017";"173_177_185_187"
"730018";"170_178"
"730019";"170_178"
"730020";"170_178"
"730021";"170"
"730022";"170_178"
"730028";"172_176"
"730029";"176"
"730030";"176"
"730033";"173"
"730035";"173_178_184"
"730036";"171_178_186_677"
"730037";"173_184_187"
"730038";"173_184_187"
"730039";"173_184_187"
"730040";"173_184_187"
"730041";"173_184_187"
"730042";"173_184_187"
"730043";"173_184_187"
"730044";"173_187"
"730045";"185"
"730046";"173_185"
"730047";"185"
"730049";"806"
"730050";"177"
"730051";"177"
"730052";"173"
"730054";"171"
"730055";"171"
"730056";"170_178"
"730059";"171_186_593_801"
"730060";"173"
"730063";"174"
"730064";"173"
"730066";"177_185"
"730067";"177"
"730069";"177"
"730072";"178"
"730073";"178"
"730076";"177_185"
"730077";"173_184"
"730078";"173_184"
"730079";"173_184"
"730082";"177_185"
"730083";"171_186_677"
"730084";"102_180_181"
"730086";"101_102_172_173_177_180_181_183_185"
"730087";"185"
"730089";"174"
"730090";"171"
"730091";"102_180_181"
"730092";"171"
"730093";"171"
"730095";"171"
"730096";"171"
"730097";"171"
"730098";"171"
"730099";"171"
"730100";"171"
"730101";"171"
"730102";"171"
"730103";"171"
"730104";"171"
"730105";"170_178"
"730106";"170_178"
"730107";"170_178"
"730108";"170_178"
"730109";"170_178"
"730110";"170_178"
"730111";"170"
"730112";"172_174_175"
"730113";"172_174_175"
"730114";"175"
"730115";"175"
"730116";"175"
"730117";"175"
"730121";"172"
"730122";"172"
"730123";"174"
"730124";"174"
"730125";"178"
"730126";"178"
"730127";"178"
"730128";"178"
"730129";"178"
"730130";"178"
"730131";"177"
"730132";"177"
"730133";"177"
"730134";"177"
"730135";"177"
"730136";"177"
"730137";"177"
"730138";"173_184_187"
"730139";"173_184_187"
"730140";"173_184_187"
"730141";"173_184_187"
"730142";"185"
"730143";"185"
"730144";"185"
"730146";"177"
"730147";"185"
"730148";"173_184"
"730149";"170"
"730150";"177"
"730152";"173_184_187"
"730153";"173_184_187"
"730154";"171"
"730155";"186"
"730156";"177"
"730157";"102_180_181"
"760004";"524_532_539"
"760005";"510_511_513_516_517_518_531_533_534_535_821_835_952_Upptåget Gävle"
"760006";"524"
"760009";"514_517_524_817_Upptåget Gävle"
"760011";"510_511_832"
"760012";"510_515_832_835"
"760013";"515_835"
"760018";"510_517_821"
"760030";"524"
"760034";"516"
"760035";"516_518"
"760036";"515"
"760037";"515"
"760038";"510_511_515_832"
"760039";"510_531_835"
"760040";"522"
"760042";"515"
"760044";"515"
"760045";"510_531_835"
