"Indikator";"StartTatort";"StopTatort";"TatortKat";"AntalTurerPerRusningTimma";"AntalTurerPerEjRusningTimma";"MaxAntalByte";"StartHplID";"StopHplID"
"3.1";"Tierp";"Stockholm";"OvrikaKommuncentra";"2";"1";NA;760005;191718
"3.1";"Tierp";"Gävle";"OvrikaKommuncentra";"2";"1";NA;760005;480119
"3.1";"Tierp";"Gävle";"OvrikaKommuncentra";"2";"1";NA;760005;480334
"3.1";"Tierp";"Västerås";"OvrikaKommuncentra";"2";"1";NA;760005;660600
"3.1";"Tierp";"Västerås";"OvrikaKommuncentra";"2";"1";NA;760005;793052
"3.1";"Tierp";"Västerås";"OvrikaKommuncentra";"2";"1";NA;760005;793053
"3.1";"Tierp";"Västerås";"OvrikaKommuncentra";"2";"1";NA;760005;793139
"3.1";"Älvkarleby";"Uppsala";"OvrikaKommuncentra";"2";"1";NA;719000;700600
"3.1";"Älvkarleby";"Uppsala";"OvrikaKommuncentra";"2";"1";NA;719007;700600
"3.1";"Älvkarleby";"Stockholm";"OvrikaKommuncentra";"2";"1";NA;719000;191718
"3.1";"Älvkarleby";"Stockholm";"OvrikaKommuncentra";"2";"1";NA;719007;191718
"3.1";"Älvkarleby";"Gävle";"OvrikaKommuncentra";"2";"1";NA;719000;480119
"3.1";"Älvkarleby";"Gävle";"OvrikaKommuncentra";"2";"1";NA;719000;480334
"3.1";"Älvkarleby";"Gävle";"OvrikaKommuncentra";"2";"1";NA;719007;480119
"3.1";"Älvkarleby";"Gävle";"OvrikaKommuncentra";"2";"1";NA;719007;480334
"3.1";"Älvkarleby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;719000;660600
"3.1";"Älvkarleby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;719000;793052
"3.1";"Älvkarleby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;719000;793053
"3.1";"Älvkarleby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;719000;793139
"3.1";"Älvkarleby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;719007;660600
"3.1";"Älvkarleby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;719007;793052
"3.1";"Älvkarleby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;719007;793053
"3.1";"Älvkarleby";"Västerås";"OvrikaKommuncentra";"2";"1";NA;719007;793139
"3.2";"Heby";"Enköping";"OvrikaKommuncentra";"2";"1";NA;793051;781210
"3.2";"Heby";"Enköping";"OvrikaKommuncentra";"2";"1";NA;793051;781002
"3.2";"Heby";"Enköping";"OvrikaKommuncentra";"2";"1";NA;793035;781210
"3.2";"Heby";"Enköping";"OvrikaKommuncentra";"2";"1";NA;793035;781002
"3.2";"Heby";"Bålsta";"OvrikaKommuncentra";"2";"1";NA;793051;705003
"3.2";"Heby";"Bålsta";"OvrikaKommuncentra";"2";"1";NA;793051;105112
"3.2";"Heby";"Bålsta";"OvrikaKommuncentra";"2";"1";NA;793035;705003
"3.2";"Heby";"Bålsta";"OvrikaKommuncentra";"2";"1";NA;793035;105112
"3.2";"Heby";"Sävja";"OvrikaKommuncentra";"2";"1";NA;793051;700358
"3.2";"Heby";"Sävja";"OvrikaKommuncentra";"2";"1";NA;793035;700358
"3.2";"Heby";"Knivsta";"OvrikaKommuncentra";"2";"1";NA;793051;780050
"3.2";"Heby";"Knivsta";"OvrikaKommuncentra";"2";"1";NA;793035;780050
"3.2";"Heby";"Skutskär";"OvrikaKommuncentra";"2";"1";NA;793051;719200
"3.2";"Heby";"Skutskär";"OvrikaKommuncentra";"2";"1";NA;793051;719006
"3.2";"Heby";"Skutskär";"OvrikaKommuncentra";"2";"1";NA;793035;719200
"3.2";"Heby";"Skutskär";"OvrikaKommuncentra";"2";"1";NA;793035;719006
"3.2";"Tierp";"Enköping";"OvrikaKommuncentra";"2";"1";NA;760005;781210
"3.2";"Tierp";"Enköping";"OvrikaKommuncentra";"2";"1";NA;760005;781002
"3.2";"Tierp";"Bålsta";"OvrikaKommuncentra";"2";"1";NA;760005;705003
"3.2";"Tierp";"Bålsta";"OvrikaKommuncentra";"2";"1";NA;760005;105112
"3.2";"Tierp";"Sävja";"OvrikaKommuncentra";"2";"1";NA;760005;700358
"3.2";"Tierp";"Knivsta";"OvrikaKommuncentra";"2";"1";NA;760005;780050
"3.2";"Tierp";"Skutskär";"OvrikaKommuncentra";"2";"1";NA;760005;719200
"3.2";"Tierp";"Skutskär";"OvrikaKommuncentra";"2";"1";NA;760005;719006
"3.2";"Älvkarleby";"Enköping";"OvrikaKommuncentra";"2";"1";NA;719000;781210
"3.2";"Älvkarleby";"Enköping";"OvrikaKommuncentra";"2";"1";NA;719000;781002
"3.2";"Älvkarleby";"Enköping";"OvrikaKommuncentra";"2";"1";NA;719007;781210
"3.2";"Älvkarleby";"Enköping";"OvrikaKommuncentra";"2";"1";NA;719007;781002
"3.2";"Älvkarleby";"Bålsta";"OvrikaKommuncentra";"2";"1";NA;719000;705003
"3.2";"Älvkarleby";"Bålsta";"OvrikaKommuncentra";"2";"1";NA;719000;105112
"3.2";"Älvkarleby";"Bålsta";"OvrikaKommuncentra";"2";"1";NA;719007;705003
"3.2";"Älvkarleby";"Bålsta";"OvrikaKommuncentra";"2";"1";NA;719007;105112
"3.2";"Älvkarleby";"Sävja";"OvrikaKommuncentra";"2";"1";NA;719000;700358
"3.2";"Älvkarleby";"Sävja";"OvrikaKommuncentra";"2";"1";NA;719007;700358
"3.2";"Älvkarleby";"Knivsta";"OvrikaKommuncentra";"2";"1";NA;719000;780050
"3.2";"Älvkarleby";"Knivsta";"OvrikaKommuncentra";"2";"1";NA;719007;780050
"3.2";"Älvkarleby";"Skutskär";"OvrikaKommuncentra";"2";"1";NA;719000;719200
"3.2";"Älvkarleby";"Skutskär";"OvrikaKommuncentra";"2";"1";NA;719000;719006
"3.2";"Älvkarleby";"Skutskär";"OvrikaKommuncentra";"2";"1";NA;719007;719200
"3.2";"Älvkarleby";"Skutskär";"OvrikaKommuncentra";"2";"1";NA;719007;719006
